state,year,level,metric,value,unit,pdf_file,pdf_page,printed_label,note
Arunachal Pradesh,2021-22,All,schools_with_electricity,66.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Arunachal Pradesh,2021-22,All,schools_with_functional_electricity,53.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Assam,2021-22,All,schools_with_electricity,77.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Assam,2021-22,All,schools_with_functional_electricity,75.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Bihar,2021-22,All,schools_with_electricity,88.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Bihar,2021-22,All,schools_with_functional_electricity,87.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chandigarh,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chandigarh,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chhattisgarh,2021-22,All,schools_with_electricity,95.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chhattisgarh,2021-22,All,schools_with_functional_electricity,91.4,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Delhi,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Delhi,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Goa,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Goa,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Gujarat,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Gujarat,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Haryana,2021-22,All,schools_with_electricity,99.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Haryana,2021-22,All,schools_with_functional_electricity,97.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Himachal Pradesh,2021-22,All,schools_with_electricity,98.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Himachal Pradesh,2021-22,All,schools_with_functional_electricity,97.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Jammu & Kashmir,2021-22,All,schools_with_electricity,76.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Jammu & Kashmir,2021-22,All,schools_with_functional_electricity,72.9,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
